sep=;
"Version";"4";;;;
"Language";"en-US";;;;
"Local export date";"29.12.2024 10:15:48";;;;
"Export UTC date";"2024-12-29T09:15:48.340Z";;;;
"Time zone";"Europe/Berlin";;;;
"User name";"Name";;;
"Level";"System";;;
"System ID";"0815";;;
"System name";"0815_Name";;;
"";"";;;;
"Time period";"Heizung WP Verb [W]";"Total consumption [W]";"Base load [W]";"Total generation [W]";"PV generation [W]"
"10/14/2024 04.15 AM";"5,596";"5,807";"211";"0";"0"
"10/14/2024 04.30 AM";"3,555";"3,758";"203";"0";"0"
"10/14/2024 04.45 AM";"4,867";"5,019";"153";"0";"0"
"10/14/2024 05.00 AM";"2,297";"2,416";"118";"0";"0"
"10/14/2024 05.15 AM";"72";"167";"95";"0";"0"
"10/14/2024 05.30 AM";"116";"211";"95";"0";"0"
"10/14/2024 05.45 AM";"144";"239";"95";"0";"0"
"10/14/2024 06.00 AM";"98";"242";"144";"0";"0"
"10/14/2024 06.15 AM";"71";"289";"218";"0";"0"
"10/14/2024 06.30 AM";"118";"522";"404";"0";"0"
"10/14/2024 06.45 AM";"146";"381";"235";"0";"0"
"10/14/2024 07.00 AM";"96";"274";"178";"0";"0"
"10/14/2024 07.15 AM";"73";"309";"236";"0";"0"
"10/14/2024 07.30 AM";"122";"1,092";"970";"0";"0"
"10/14/2024 07.45 AM";"147";"482";"335";"0";"0"
"10/14/2024 08.00 AM";"609";"971";"362";"49";"49"
"10/14/2024 08.15 AM";"4,270";"4,994";"724";"345";"345"
"10/14/2024 08.30 AM";"5,531";"5,737";"206";"761";"761"
"10/14/2024 08.45 AM";"5,752";"5,954";"202";"779";"779"
"10/14/2024 09.00 AM";"3,159";"3,336";"177";"1,022";"1,022"
"10/14/2024 09.15 AM";"73";"153";"80";"1,459";"1,459"
"10/14/2024 09.30 AM";"106";"191";"85";"1,370";"1,370"
"10/14/2024 09.45 AM";"145";"227";"82";"1,620";"1,620"
"10/14/2024 10.00 AM";"109";"187";"78";"1,633";"1,633"
"10/14/2024 10.15 AM";"72";"224";"152";"2,611";"2,611"
"10/14/2024 10.30 AM";"108";"286";"178";"1,274";"1,274"
"10/14/2024 10.45 AM";"2,724";"2,892";"168";"1,469";"1,469"
"10/14/2024 11.00 AM";"1,484";"1,654";"170";"2,057";"2,057"
"10/14/2024 11.15 AM";"72";"154";"82";"2,098";"2,098"
"10/14/2024 11.30 AM";"119";"204";"85";"2,038";"2,038"
"10/14/2024 11.45 AM";"146";"232";"86";"1,252";"1,252"
"10/14/2024 12.00 PM";"96";"181";"84";"1,427";"1,427"
"10/14/2024 12.15 PM";"72";"164";"92";"1,839";"1,839"
"10/14/2024 12.30 PM";"121";"301";"179";"2,203";"2,203"
"10/14/2024 12.45 PM";"148";"334";"186";"957";"957"
"10/14/2024 01.00 PM";"95";"268";"173";"448";"448"
"10/14/2024 01.15 PM";"71";"239";"168";"309";"309"
"10/14/2024 01.30 PM";"125";"270";"145";"984";"984"
"10/14/2024 01.45 PM";"149";"244";"95";"461";"461"
"10/14/2024 02.00 PM";"93";"182";"89";"172";"172"
"10/14/2024 02.15 PM";"71";"158";"87";"222";"222"
"10/14/2024 02.30 PM";"127";"205";"78";"832";"832"
"10/14/2024 02.45 PM";"149";"246";"96";"742";"742"
"10/14/2024 03.00 PM";"92";"249";"157";"324";"324"
"10/14/2024 03.15 PM";"72";"513";"441";"497";"497"
"10/14/2024 03.30 PM";"129";"312";"183";"1,074";"1,074"
"10/14/2024 03.45 PM";"151";"327";"176";"1,106";"1,106"
"10/14/2024 04.00 PM";"91";"366";"275";"1,546";"1,546"
"10/14/2024 04.15 PM";"73";"196";"123";"570";"570"
"10/14/2024 04.30 PM";"132";"257";"125";"448";"448"
"10/14/2024 04.45 PM";"947";"2,752";"1,805";"377";"377"
"10/14/2024 05.00 PM";"1,204";"2,446";"1,242";"427";"427"
"10/14/2024 05.15 PM";"3,848";"4,166";"318";"272";"272"
"10/14/2024 05.30 PM";"5,174";"5,532";"357";"185";"185"
"10/14/2024 05.45 PM";"3,918";"4,147";"228";"121";"121"
"10/14/2024 06.00 PM";"127";"328";"201";"62";"62"
"10/14/2024 06.15 PM";"698";"928";"230";"8";"8"
"10/14/2024 06.30 PM";"1,231";"1,668";"436";"0";"0"
"10/14/2024 06.45 PM";"147";"630";"483";"0";"0"
"10/14/2024 07.00 PM";"78";"563";"486";"0";"0"
"10/14/2024 07.15 PM";"80";"690";"610";"0";"0"
"10/14/2024 07.30 PM";"149";"658";"509";"0";"0"
"10/14/2024 07.45 PM";"143";"605";"462";"0";"0"
"10/14/2024 08.00 PM";"75";"454";"379";"0";"0"
"10/14/2024 08.15 PM";"1,403";"1,739";"336";"0";"0"
"10/14/2024 08.30 PM";"3,884";"4,066";"182";"0";"0"
"10/14/2024 08.45 PM";"4,102";"4,218";"116";"0";"0"
"10/14/2024 09.00 PM";"621";"709";"88";"0";"0"
"10/14/2024 09.15 PM";"74";"157";"82";"0";"0"
"10/14/2024 09.30 PM";"137";"220";"82";"0";"0"
"10/14/2024 09.45 PM";"149";"308";"159";"0";"0"
