sep=;
"Version";"4";;;;;
"Language";"en-US";;;;;
"Local export date";"29.12.2024 10:16:40";;;;;
"Export UTC date";"2024-12-29T09:16:40.489Z";;;;;
"Time zone";"Europe/Berlin";;;;;
"User name";"Name";;;
"Level";"System";;;
"System ID";"0815";;;
"System name";"0815_Name";;;
"";"";;;;;
"Time period";"Bad Heizkörper [W]";"Heizung WP Verb [W]";"Total consumption [W]";"Base load [W]";"Total generation [W]";"PV generation [W]"
"11/17/2024 10.30 AM";"455";"88";"1,249";"706";"1,467";"1,467"
"11/17/2024 10.45 AM";"454";"96";"932";"382";"1,817";"1,817"
"11/17/2024 11.00 AM";"309";"2,159";"2,879";"411";"1,438";"1,438"
"11/17/2024 11.15 AM";"0";"6,394";"6,854";"460";"1,110";"1,110"
"11/17/2024 11.30 AM";"0";"6,573";"6,960";"387";"838";"838"
"11/17/2024 11.45 AM";"0";"158";"399";"241";"945";"945"
"11/17/2024 12.00 PM";"498";"155";"822";"169";"1,078";"1,078"
"11/17/2024 12.15 PM";"198";"224";"564";"142";"883";"883"
"11/17/2024 12.30 PM";"451";"224";"765";"89";"954";"954"
"11/17/2024 12.45 PM";"453";"144";"683";"85";"1,149";"1,149"
"11/17/2024 01.00 PM";"319";"1,087";"1,496";"91";"937";"937"
"11/17/2024 01.15 PM";"0";"1,542";"1,628";"86";"862";"862"
"11/17/2024 01.30 PM";"0";"2,504";"2,595";"91";"681";"681"
"11/17/2024 01.45 PM";"0";"3,989";"4,143";"154";"450";"450"
"11/17/2024 02.00 PM";"0";"4,246";"4,431";"185";"424";"424"
"11/17/2024 02.15 PM";"0";"1,461";"1,636";"175";"248";"248"
"11/17/2024 02.30 PM";"0";"89";"255";"166";"204";"204"
"11/17/2024 02.45 PM";"0";"136";"300";"164";"141";"141"
"11/17/2024 03.00 PM";"0";"160";"288";"128";"124";"124"
"11/17/2024 03.15 PM";"0";"110";"200";"90";"101";"101"
"11/17/2024 03.30 PM";"0";"149";"251";"103";"203";"203"
"11/17/2024 03.45 PM";"0";"161";"662";"502";"141";"141"
"11/17/2024 04.00 PM";"0";"1,694";"1,991";"297";"22";"22"
"11/17/2024 04.15 PM";"0";"5,084";"5,374";"290";"0";"0"
"11/17/2024 04.30 PM";"0";"5,456";"5,796";"340";"0";"0"
"11/17/2024 04.45 PM";"0";"91";"460";"369";"0";"0"
"11/17/2024 05.00 PM";"0";"95";"468";"373";"0";"0"
"11/17/2024 05.15 PM";"0";"158";"522";"364";"0";"0"
"11/17/2024 05.30 PM";"0";"150";"741";"592";"0";"0"
"11/17/2024 05.45 PM";"0";"88";"2,215";"2,127";"0";"0"
"11/17/2024 06.00 PM";"0";"98";"1,262";"1,164";"0";"0"
"11/17/2024 06.15 PM";"0";"160";"801";"641";"0";"0"
"11/17/2024 06.30 PM";"0";"963";"1,295";"331";"0";"0"
"11/17/2024 06.45 PM";"269";"4,637";"5,265";"358";"0";"0"
"11/17/2024 07.00 PM";"0";"5,867";"6,402";"535";"0";"0"
"11/17/2024 07.15 PM";"0";"6,024";"6,452";"427";"0";"0"
